time;status;gx;gy;gz;ax;ay;az
2022-12-01T08:35:29.975;77;0.00017361;-0.00006510;0.00010851;0.01586914;-0.01464844;9.83596802
2022-12-01T08:35:29.985;77;0.00001085;0.00002170;0.00011936;0.03585815;-0.00778198;9.82559204
2022-12-01T08:35:29.995;77;0.00001085;0.00015191;0.00010851;0.02563477;-0.02990723;9.84405518
2022-12-01T08:35:30.005;77;0.00004340;-0.00002170;0.00030382;0.02731323;-0.01327515;9.84619141
2022-12-01T08:35:30.015;77;0.00007595;-0.00008681;0.00022786;0.01937866;0.00137329;9.82620239
2022-12-01T08:35:30.025;77;0.00001085;0.00003255;0.00015191;0.03173828;-0.01068115;9.85260010
2022-12-01T08:35:30.035;77;0.00005425;-0.00009766;0.00022786;0.03173828;-0.01953125;9.82620239
2022-12-01T08:35:30.045;77;0.00002170;0.00002170;0.00001085;0.03051758;0.00976563;9.83703613
2022-12-01T08:35:30.055;77;0.00004340;0.00004340;0.00007595;0.02914429;-0.01007080;9.82406616
2022-12-01T08:35:30.065;77;-0.00004340;0.00005425;0.00016276;0.03540039;-0.00839233;9.82376099
2022-12-01T08:35:30.075;77;0.00018446;0.00006510;0.00016276;0.03845215;-0.00457764;9.84344482
2022-12-01T08:35:30.085;77;0.00016276;0.00000000;0.00017361;0.03341675;0.00228882;9.83886719
2022-12-01T08:35:30.095;77;0.00007595;0.00003255;0.00020616;0.03189087;0.00839233;9.83642578
2022-12-01T08:35:30.105;77;0.00000000;0.00010851;0.00017361;0.02441406;-0.01083374;9.83001709
2022-12-01T08:35:30.115;77;0.00013021;0.00006510;0.00018446;0.01586914;-0.00183105;9.83352661
2022-12-01T08:35:30.125;77;0.00014106;0.00004340;0.00030382;0.02334595;-0.01220703;9.84497070
2022-12-01T08:35:30.135;77;0.00001085;-0.00005425;0.00014106;0.01922607;-0.00518799;9.83367920
2022-12-01T08:35:30.145;77;0.00003255;-0.00007595;0.00021701;0.01983643;-0.01144409;9.82406616
2022-12-01T08:35:30.155;77;0.00001085;0.00014106;0.00018446;0.02487183;-0.00595093;9.83642578
2022-12-01T08:35:30.165;77;0.00003255;0.00003255;0.00024957;0.02639771;-0.00961304;9.83337402
2022-12-01T08:35:30.175;77;0.00009766;0.00004340;0.00007595;0.01678467;0.00701904;9.82330322
2022-12-01T08:35:30.185;77;0.00009766;-0.00002170;0.00018446;0.00869751;-0.00564575;9.84390259
2022-12-01T08:35:30.195;77;0.00007595;-0.00009766;0.00023872;0.02822876;0.00457764;9.81811523
2022-12-01T08:35:30.205;77;0.00008681;0.00017361;0.00011936;0.01449585;-0.01678467;9.84298706
2022-12-01T08:35:30.215;77;0.00000000;0.00019531;0.00010851;0.01861572;-0.00900269;9.84817505
2022-12-01T08:35:30.225;77;0.00014106;0.00009766;0.00022786;0.02395630;-0.01129150;9.84527588
2022-12-01T08:35:30.235;77;-0.00002170;-0.00006510;0.00018446;0.01327515;-0.00045776;9.83596802
2022-12-01T08:35:30.245;77;0.00008681;-0.00009766;0.00032552;0.00671387;-0.00732422;9.84008789
2022-12-01T08:35:30.255;77;0.00006510;0.00000000;0.00008681;0.02746582;-0.00549316;9.84359741
2022-12-01T08:35:30.265;77;0.00011936;0.00005425;0.00023872;0.04394531;0.00228882;9.84008789
2022-12-01T08:35:30.275;77;-0.00002170;0.00016276;0.00004340;0.02349854;-0.00808716;9.83596802
2022-12-01T08:35:30.285;77;0.00007595;0.00020616;0.00024957;0.02014160;-0.01617432;9.85076904
2022-12-01T08:35:30.295;77;0.00000000;-0.00007595;0.00005425;0.01220703;-0.00991821;9.84558105
2022-12-01T08:35:30.305;77;-0.00023872;0.00000000;0.00017361;0.02044678;-0.01113892;9.83398438
2022-12-01T08:35:30.315;77;0.00014106;0.00016276;0.00011936;0.01388550;-0.02243042;9.83428955
2022-12-01T08:35:30.325;77;0.00005425;0.00003255;0.00016276;0.02853394;-0.00228882;9.84344482
2022-12-01T08:35:30.335;77;-0.00003255;0.00000000;0.00008681;0.02853394;-0.00701904;9.82803345
2022-12-01T08:35:30.345;77;-0.00003255;0.00001085;0.00019531;0.02807617;-0.00701904;9.84695435
2022-12-01T08:35:30.355;77;-0.00006510;-0.00004340;0.00017361;0.02182007;-0.00457764;9.84710693
2022-12-01T08:35:30.365;77;0.00015191;0.00007595;0.00016276;0.02349854;-0.00686646;9.83535767
2022-12-01T08:35:30.375;77;0.00004340;0.00021701;0.00021701;0.03479004;0.00259399;9.82589722
2022-12-01T08:35:30.385;77;-0.00003255;-0.00005425;0.00005425;0.02517700;-0.02441406;9.83520508
2022-12-01T08:35:30.395;77;0.00016276;0.00010851;0.00027127;0.03158569;-0.00747681;9.83139038
2022-12-01T08:35:30.405;77;-0.00003255;-0.00001085;0.00000000;0.03128052;0.00106812;9.82833862
2022-12-01T08:35:30.415;77;-0.00005425;0.00000000;0.00026042;0.02273560;-0.01174927;9.85183716
2022-12-01T08:35:30.425;77;0.00000000;0.00008681;0.00008681;0.02014160;-0.01037598;9.83734131
2022-12-01T08:35:30.435;77;0.00002170;-0.00003255;0.00007595;0.02029419;0.00152588;9.82040405
2022-12-01T08:35:30.445;77;0.00019531;0.00030382;0.00027127;0.02777100;-0.01342773;9.82772827
2022-12-01T08:35:30.455;77;-0.00003255;-0.00002170;0.00005425;0.01617432;0.00167847;9.82589722
2022-12-01T08:35:30.465;77;0.00011936;0.00001085;0.00017361;0.02548218;0.00762939;9.83871460
2022-12-01T08:35:30.475;77;0.00013021;-0.00013021;0.00010851;0.02090454;-0.01678467;9.84115601
2022-12-01T08:35:30.485;77;0.00000000;0.00010851;0.00024957;0.01525879;-0.00381470;9.82284546
2022-12-01T08:35:30.495;77;-0.00003255;0.00026042;0.00015191;0.02120972;-0.00198364;9.84222412
2022-12-01T08:35:30.505;77;0.00019531;-0.00009766;0.00021701;0.02502441;-0.01220703;9.84085083
2022-12-01T08:35:30.515;77;0.00000000;-0.00003255;0.00021701;0.01937866;-0.01251221;9.83428955
2022-12-01T08:35:30.525;77;0.00008681;0.00018446;0.00008681;0.02517700;-0.00320435;9.82650757
2022-12-01T08:35:30.535;77;-0.00018446;0.00011936;0.00015191;0.01708984;-0.00488281;9.83489990
